,OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,Discount,Tax,ShippingCost,TotalAmount,PaymentMethod,OrderStatus,City,State,Country,SellerID,TotalAmountPredictionByModel,TotalAmount_Original
90035,ORD0090036,13-02-2024,CUST012285,Priya Sharma,P00017,Electric Kettle,Electronics,KiddoFun,4,200.37,0,40.07,9.37,850.92,UPI,Delivered,San Francisco,CA,United States,SELL00437,851.1193,850.92
2617,ORD0002618,30-01-2023,CUST019256,Vikas Singh,P00046,Car Charger,Books,UrbanStyle,5,73.38,0.3,30.82,0.57,288.22,UPI,Shipped,San Antonio,TX,Australia,SELL01028,298.3306,288.22
46800,ORD0046801,18-09-2024,CUST031661,Rohit Verma,P00010,Smartwatch,Toys & Games,FitLife,3,248.6,0.05,35.43,2.17,746.11,UPI,Delivered,Dallas,TX,United States,SELL00760,746.9106,746.11
8664,ORD0008665,09-05-2020,CUST018291,Vihaan Gupta,P00043,HDMI Cable 2m,Books,UrbanStyle,1,281.87,0,33.82,0.24,315.93,Debit Card,Delivered,Denver,CO,India,SELL01341,316.8868,315.93
21280,ORD0021281,14-04-2021,CUST048992,Priya Kapoor,P00034,Desk Organizer,Clothing,Apex,2,352.14,0,84.51,7.25,796.04,Debit Card,Delivered,Philadelphia,PA,United States,SELL01924,796.5453,796.04
33853,ORD0033854,27-02-2021,CUST047358,Kabir Patel,P00048,Wireless Charger,Toys & Games,Zenith,2,378.54,0.1,0,5.01,686.38,Credit Card,Shipped,Fort Worth,TX,United Kingdom,SELL01548,685.8187,686.38
59015,ORD0059016,21-07-2023,CUST031575,Aman Patel,P00029,T-Shirt,Electronics,KiddoFun,5,78.6,0.1,28.3,3.47,385.47,Credit Card,Delivered,San Jose,CA,India,SELL01184,385.6958,385.47
95857,ORD0095858,12-10-2020,CUST038858,Sunita Patel,P00005,Laptop Sleeve,Home & Kitchen,UrbanStyle,2,419.48,0,0,6.13,845.09,Debit Card,Delivered,Houston,TX,United States,SELL01853,844.6692,845.09
3152,ORD0003153,16-12-2023,CUST044104,Pooja Sharma,P00039,Graphic Tablet,Home & Kitchen,NexPro,1,182.64,0.1,19.73,13.72,197.83,Net Banking,Delivered,New York,NY,United States,SELL00713,194.8788,197.83
12487,ORD0012488,05-10-2020,CUST032449,Mohit Mehta,P00018,Vacuum Cleaner,Toys & Games,ReadMore,3,46.41,0.1,10.02,13.41,148.74,Amazon Pay,Delivered,Jacksonville,FL,United States,SELL01488,147.2526,148.74
82289,ORD0082290,18-05-2020,CUST028025,Vikas Sharma,P00012,Noise Cancelling Headphones,Home & Kitchen,FitLife,4,142.44,0.2,22.79,5.43,484.03,UPI,Pending,Seattle,WA,United States,SELL01745,485.1223,484.03
31717,ORD0031718,20-11-2023,CUST019451,Sunita Verma,P00010,Smartwatch,Books,KiddoFun,1,368.03,0,18.4,1.29,387.72,Cash on Delivery,Delivered,Philadelphia,PA,Canada,SELL01699,387.9574,387.72
3903,ORD0003904,03-07-2021,CUST033663,Anjali Singh,P00035,Desk Plant,Sports & Outdoors,Apex,3,83.19,0.05,11.85,10.24,259.18,Amazon Pay,Delivered,San Antonio,TX,United States,SELL01119,258.2334,259.18
60119,ORD0060120,30-08-2020,CUST003119,Ritika Singh,P00015,Instant Pot,Home & Kitchen,FitLife,2,144.67,0.1,13.02,4.11,277.54,Net Banking,Delivered,Phoenix,AZ,United States,SELL00762,277.9638,277.54
61899,ORD0061900,08-06-2024,CUST045199,Vihaan Gupta,P00019,LED Desk Lamp,Books,KiddoFun,1,208.04,0.05,35.57,0.11,233.32,Credit Card,Delivered,Phoenix,AZ,United States,SELL01917,234.161,233.32
69301,ORD0069302,29-03-2020,CUST023404,Ritika Singh,P00039,Graphic Tablet,Clothing,FitLife,2,405.16,0.2,0,9.69,657.95,UPI,Delivered,Philadelphia,PA,United States,SELL00294,659.4972,657.95
2387,ORD0002388,11-05-2022,CUST015486,Arjun Reddy,P00044,Power Bank 20000mAh,Electronics,Zenith,5,453.36,0.05,107.67,7.14,2268.27,Credit Card,Delivered,Austin,TX,United States,SELL00415,2268.1558,2268.27
16862,ORD0016863,09-09-2023,CUST028245,Ritika Kapoor,P00024,Yoga Mat,Electronics,NexPro,4,372.61,0.05,254.87,11.18,1681.97,UPI,Delivered,Columbus,OH,United States,SELL00470,1679.0316,1681.97
89765,ORD0089766,15-02-2022,CUST047690,Vihaan Singh,P00006,Gaming Mouse,Sports & Outdoors,KiddoFun,5,94.26,0.05,53.73,14.8,516.26,Credit Card,Delivered,Philadelphia,PA,United States,SELL00979,516.2533,516.26
78687,ORD0078688,30-08-2020,CUST038340,Ritika Singh,P00010,Smartwatch,Toys & Games,UrbanStyle,4,204.3,0.2,78.45,1.38,733.59,UPI,Delivered,Washington,DC,United States,SELL00418,736.627,733.59
55216,ORD0055217,24-11-2021,CUST041008,Neha Gupta,P00042,Projector Mini,Clothing,Apex,3,556.72,0,300.63,2.6,1973.39,Credit Card,Shipped,San Francisco,CA,Canada,SELL01253,1974.6626,1973.39
31726,ORD0031727,15-10-2021,CUST001391,Vivaan Kapoor,P00033,Puzzle 1000pc,Home & Kitchen,Zenith,3,492.77,0.15,100.53,7.9,1364.99,Amazon Pay,Shipped,Washington,DC,United States,SELL01875,1366.8831,1364.99
36029,ORD0036030,23-04-2022,CUST025552,Pooja Gupta,P00043,HDMI Cable 2m,Sports & Outdoors,UrbanStyle,1,172.87,0,8.64,9.32,190.83,Credit Card,Delivered,Chicago,IL,United States,SELL01514,190.7214,190.83
27617,ORD0027618,25-05-2023,CUST034062,Aman Joshi,P00025,Running Shoes,Books,FitLife,2,467.55,0.3,0,10.74,665.31,Debit Card,Shipped,Indianapolis,IN,United States,SELL01758,677.4454,665.31
67495,ORD0067496,20-01-2021,CUST043739,Anjali Mehta,P00026,Sunglasses,Sports & Outdoors,NexPro,2,561.17,0.15,114.48,7.98,1076.45,Credit Card,Delivered,San Francisco,CA,United States,SELL00892,1077.421,1076.45
49482,ORD0049483,09-04-2023,CUST001515,Vihaan Kumar,P00002,Bluetooth Speaker,Books,NexPro,4,239.66,0.1,43.14,8.18,914.1,Debit Card,Delivered,Los Angeles,CA,United States,SELL00353,911.7604,914.1
64730,ORD0064731,31-01-2021,CUST017489,Mohit Patel,P00045,Phone Tripod,Toys & Games,FitLife,3,539.9,0.15,110.14,13.48,1500.36,Credit Card,Delivered,Columbus,OH,Australia,SELL01827,1496.192,1500.36
60935,ORD0060936,11-11-2024,CUST034719,Kabir Reddy,P00043,HDMI Cable 2m,Electronics,UrbanStyle,5,253.7,0.05,0,11.91,1216.99,Debit Card,Delivered,San Jose,CA,United States,SELL00044,1220.5137,1216.99
67161,ORD0067162,23-04-2023,CUST042872,Sneha Kumar,P00030,Dress Shirt,Clothing,Apex,5,302.93,0.15,103,3.92,1394.37,Net Banking,Delivered,Fort Worth,TX,United States,SELL00798,1396.7721,1394.37
44912,ORD0044913,26-11-2023,CUST023233,Vihaan Mehta,P00033,Puzzle 1000pc,Books,HomeEase,5,399.79,0.15,0,10.36,1709.47,Amazon Pay,Shipped,Los Angeles,CA,United States,SELL00224,1694.4892,1709.47
46751,ORD0046752,09-03-2023,CUST042629,Vihaan Reddy,P00001,Wireless Earbuds,Electronics,CoreTech,4,249.12,0.05,113.6,2.6,1062.86,Amazon Pay,Delivered,Charlotte,NC,India,SELL00767,1064.2129,1062.86
81059,ORD0081060,14-12-2022,CUST044812,Priya Kapoor,P00042,Projector Mini,Home & Kitchen,UrbanStyle,5,511.83,0.05,194.5,11.11,2636.8,Credit Card,Delivered,San Jose,CA,India,SELL00662,2635.9013,2636.8
4916,ORD0004917,28-03-2021,CUST044333,Kabir Kumar,P00019,LED Desk Lamp,Electronics,HomeEase,4,446.01,0.1,128.45,3.31,1737.4,Amazon Pay,Delivered,Jacksonville,FL,United States,SELL01899,1739.9898,1737.4
