,OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,Discount,Tax,ShippingCost,,PaymentMethod,OrderStatus,City,State,Country,SellerID
90035,ORD0090036,13-02-2024,CUST012285,Priya Sharma,P00017,Electric Kettle,Electronics,KiddoFun,4,200.37,0,40.07,9.37,,UPI,Delivered,San Francisco,CA,United States,SELL00437
2617,ORD0002618,30-01-2023,CUST019256,Vikas Singh,P00046,Car Charger,Books,UrbanStyle,5,73.38,0.3,30.82,0.57,,UPI,Shipped,San Antonio,TX,Australia,SELL01028
46800,ORD0046801,18-09-2024,CUST031661,Rohit Verma,P00010,Smartwatch,Toys & Games,FitLife,3,248.6,0.05,35.43,2.17,,UPI,Delivered,Dallas,TX,United States,SELL00760
8664,ORD0008665,09-05-2020,CUST018291,Vihaan Gupta,P00043,HDMI Cable 2m,Books,UrbanStyle,1,281.87,0,33.82,0.24,,Debit Card,Delivered,Denver,CO,India,SELL01341
21280,ORD0021281,14-04-2021,CUST048992,Priya Kapoor,P00034,Desk Organizer,Clothing,Apex,2,352.14,0,84.51,7.25,,Debit Card,Delivered,Philadelphia,PA,United States,SELL01924
33853,ORD0033854,27-02-2021,CUST047358,Kabir Patel,P00048,Wireless Charger,Toys & Games,Zenith,2,378.54,0.1,0,5.01,,Credit Card,Shipped,Fort Worth,TX,United Kingdom,SELL01548
59015,ORD0059016,21-07-2023,CUST031575,Aman Patel,P00029,T-Shirt,Electronics,KiddoFun,5,78.6,0.1,28.3,3.47,,Credit Card,Delivered,San Jose,CA,India,SELL01184
95857,ORD0095858,12-10-2020,CUST038858,Sunita Patel,P00005,Laptop Sleeve,Home & Kitchen,UrbanStyle,2,419.48,0,0,6.13,,Debit Card,Delivered,Houston,TX,United States,SELL01853
3152,ORD0003153,16-12-2023,CUST044104,Pooja Sharma,P00039,Graphic Tablet,Home & Kitchen,NexPro,1,182.64,0.1,19.73,13.72,,Net Banking,Delivered,New York,NY,United States,SELL00713
12487,ORD0012488,05-10-2020,CUST032449,Mohit Mehta,P00018,Vacuum Cleaner,Toys & Games,ReadMore,3,46.41,0.1,10.02,13.41,,Amazon Pay,Delivered,Jacksonville,FL,United States,SELL01488
