Unnamed: 0,OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,Discount,Tax,ShippingCost,Unnamed: 14,PaymentMethod,OrderStatus,City,State,Country,SellerID,TotalAmount
90035,ORD0090036,13-02-2024,CUST012285,Priya Sharma,P00017,Electric Kettle,Electronics,KiddoFun,4,200.37,0.0,40.07,9.37,,UPI,Delivered,San Francisco,CA,United States,SELL00437,851.1192999999992
2617,ORD0002618,30-01-2023,CUST019256,Vikas Singh,P00046,Car Charger,Books,UrbanStyle,5,73.38,0.3,30.82,0.57,,UPI,Shipped,San Antonio,TX,Australia,SELL01028,298.3306000000003
46800,ORD0046801,18-09-2024,CUST031661,Rohit Verma,P00010,Smartwatch,Toys & Games,FitLife,3,248.6,0.05,35.43,2.17,,UPI,Delivered,Dallas,TX,United States,SELL00760,746.9106000000002
8664,ORD0008665,09-05-2020,CUST018291,Vihaan Gupta,P00043,HDMI Cable 2m,Books,UrbanStyle,1,281.87,0.0,33.82,0.24,,Debit Card,Delivered,Denver,CO,India,SELL01341,316.88680000000016
21280,ORD0021281,14-04-2021,CUST048992,Priya Kapoor,P00034,Desk Organizer,Clothing,Apex,2,352.14,0.0,84.51,7.25,,Debit Card,Delivered,Philadelphia,PA,United States,SELL01924,796.5452999999994
33853,ORD0033854,27-02-2021,CUST047358,Kabir Patel,P00048,Wireless Charger,Toys & Games,Zenith,2,378.54,0.1,0.0,5.01,,Credit Card,Shipped,Fort Worth,TX,United Kingdom,SELL01548,685.8186999999994
59015,ORD0059016,21-07-2023,CUST031575,Aman Patel,P00029,T-Shirt,Electronics,KiddoFun,5,78.6,0.1,28.3,3.47,,Credit Card,Delivered,San Jose,CA,India,SELL01184,385.6958000000005
95857,ORD0095858,12-10-2020,CUST038858,Sunita Patel,P00005,Laptop Sleeve,Home & Kitchen,UrbanStyle,2,419.48,0.0,0.0,6.13,,Debit Card,Delivered,Houston,TX,United States,SELL01853,844.6691999999988
3152,ORD0003153,16-12-2023,CUST044104,Pooja Sharma,P00039,Graphic Tablet,Home & Kitchen,NexPro,1,182.64,0.1,19.73,13.72,,Net Banking,Delivered,New York,NY,United States,SELL00713,194.87880000000007
12487,ORD0012488,05-10-2020,CUST032449,Mohit Mehta,P00018,Vacuum Cleaner,Toys & Games,ReadMore,3,46.41,0.1,10.02,13.41,,Amazon Pay,Delivered,Jacksonville,FL,United States,SELL01488,147.2525999999999
82289,ORD0082290,18-05-2020,CUST028025,Vikas Sharma,P00012,Noise Cancelling Headphones,Home & Kitchen,FitLife,4,142.44,0.2,22.79,5.43,,UPI,Pending,Seattle,WA,United States,SELL01745,485.12229999999965
31717,ORD0031718,20-11-2023,CUST019451,Sunita Verma,P00010,Smartwatch,Books,KiddoFun,1,368.03,0.0,18.4,1.29,,Cash on Delivery,Delivered,Philadelphia,PA,Canada,SELL01699,387.9574000000003
3903,ORD0003904,03-07-2021,CUST033663,Anjali Singh,P00035,Desk Plant,Sports & Outdoors,Apex,3,83.19,0.05,11.85,10.24,,Amazon Pay,Delivered,San Antonio,TX,United States,SELL01119,258.23340000000013
60119,ORD0060120,30-08-2020,CUST003119,Ritika Singh,P00015,Instant Pot,Home & Kitchen,FitLife,2,144.67,0.1,13.02,4.11,,Net Banking,Delivered,Phoenix,AZ,United States,SELL00762,277.96380000000033
61899,ORD0061900,08-06-2024,CUST045199,Vihaan Gupta,P00019,LED Desk Lamp,Books,KiddoFun,1,208.04,0.05,35.57,0.11,,Credit Card,Delivered,Phoenix,AZ,United States,SELL01917,234.1609999999999
69301,ORD0069302,29-03-2020,CUST023404,Ritika Singh,P00039,Graphic Tablet,Clothing,FitLife,2,405.16,0.2,0.0,9.69,,UPI,Delivered,Philadelphia,PA,United States,SELL00294,659.4971999999995
2387,ORD0002388,11-05-2022,CUST015486,Arjun Reddy,P00044,Power Bank 20000mAh,Electronics,Zenith,5,453.36,0.05,107.67,7.14,,Credit Card,Delivered,Austin,TX,United States,SELL00415,2268.155799999998
16862,ORD0016863,09-09-2023,CUST028245,Ritika Kapoor,P00024,Yoga Mat,Electronics,NexPro,4,372.61,0.05,254.87,11.18,,UPI,Delivered,Columbus,OH,United States,SELL00470,1679.0316000000007
89765,ORD0089766,15-02-2022,CUST047690,Vihaan Singh,P00006,Gaming Mouse,Sports & Outdoors,KiddoFun,5,94.26,0.05,53.73,14.8,,Credit Card,Delivered,Philadelphia,PA,United States,SELL00979,516.2533000000004
78687,ORD0078688,30-08-2020,CUST038340,Ritika Singh,P00010,Smartwatch,Toys & Games,UrbanStyle,4,204.3,0.2,78.45,1.38,,UPI,Delivered,Washington,DC,United States,SELL00418,736.626999999999
